taxon;code_trait;Annee;surfacebalayee;Campagne;depth;Trait;Lat;Lon;biom1km;densite1km;site
Adamsia palliata;MEDITS_2016_G101_60;2016;0.0491736;MEDITS;31;G101;42.95670166;3.091600037;28185.85583;14092.92791;GdL
Adamsia palliata;MEDITS_2016_G102_73;2016;0.0477;MEDITS;40;G102;42.61660156;3.113300069;83.85744235;83.85744235;GdL
Adamsia palliata;MEDITS_2016_G103_75;2016;0.0561078;MEDITS;49;G103;42.7430013;3.140350087;89.11416951;89.11416951;GdL
Adamsia palliata;MEDITS_2016_G203_41;2016;0.0519246;MEDITS;87;G203;42.50935059;3.25069987;2214.749849;1117.004272;GdL
Aegaeon cataphractus;MEDITS_2012_G102_36;2012;0.044448;MEDITS;40.5;G102;42.61833333;3.113916667;67.49460043;67.49460043;GdL
Aegaeon cataphractus;MEDITS_2012_G103_37;2012;0.0537665;MEDITS;48.5;G103;42.74433333;3.140083333;74.39576688;74.39576688;GdL
Aegaeon cataphractus;MEDITS_2014_G102_63;2014;0.044206;MEDITS;40.5;G102;42.61925;3.113916667;226.2136362;226.2136362;GdL
Aegaeon cataphractus;MEDITS_2015_G201_42;2015;0.0538905;MEDITS;79;G201;42.59816667;3.202;18.55614626;18.55614626;GdL
Aegaeon cataphractus;MEDITS_2015_G303_45;2015;0.0593121;MEDITS;134;G303;42.83825;4.25625;33.71993236;16.85996618;GdL
Aegaeon lacazei;MEDITS_2013_G302_43;2013;0.0465462;MEDITS;110;G302;42.61491667;3.571666667;257.808371;171.8722474;GdL
Aegaeon lacazei;MEDITS_2014_G101_67;2014;0.048418;MEDITS;31.5;G101;42.956;3.088416667;20.65347598;20.65347598;GdL
Aegaeon lacazei;MEDITS_2014_G103_47;2014;0.0623731;MEDITS;48.5;G103;42.74583333;3.140666667;48.09765748;48.09765748;GdL
Aegaeon lacazei;MEDITS_2015_G103_71;2015;0.039368;MEDITS;48;G103;42.74566667;3.140416667;50.80268238;25.40134119;GdL
Aegaeon lacazei;MEDITS_2016_G102_73;2016;0.0477;MEDITS;40;G102;42.61660156;3.113300069;20.96436059;20.96436059;GdL
Aegaeon lacazei;MEDITS_2016_G103_75;2016;0.0561078;MEDITS;49;G103;42.7430013;3.140350087;17.8228339;17.8228339;GdL
Aegaeon lacazei;MEDITS_2016_G201_76;2016;0.0599848;MEDITS;78.5;G201;42.5944458;3.201350149;33.34177992;33.34177992;GdL
Aegaeon lacazei;MEDITS_2016_G301_69;2016;0.0587979;MEDITS;112.5;G301;42.47669678;3.356699626;17.00741013;17.00741013;GdL
Alcyonium palmatum;MEDITS_2013_G101_53;2013;0.05556;MEDITS;31.5;G101;42.963;3.094916667;5381.569474;773.938085;GdL
Alcyonium palmatum;MEDITS_2013_G102_59;2013;0.0497994;MEDITS;38.5;G102;42.62391667;3.11375;2309.26477;0;GdL
Alcyonium palmatum;MEDITS_2013_G103_60;2013;0.0542724;MEDITS;46;G103;42.74675;3.138833333;2800.686905;0;GdL
Alcyonium palmatum;MEDITS_2013_G201_58;2013;0.0480021;MEDITS;75.5;G201;42.59291667;3.19925;19707.47113;0;GdL
Alcyonium palmatum;MEDITS_2013_G202_61;2013;0.0458708;MEDITS;83.5;G202;42.70991667;3.248416667;13603.42527;0;GdL
Alcyonium palmatum;MEDITS_2013_G203_40;2013;0.0546021;MEDITS;86.5;G203;42.50691667;3.2545;217409.2205;0;GdL
Alcyonium palmatum;MEDITS_2013_G301_41;2013;0.0512904;MEDITS;110;G301;42.47708333;3.356666667;35367.24221;0;GdL
Alcyonium palmatum;MEDITS_2014_G101_67;2014;0.048418;MEDITS;31.5;G101;42.956;3.088416667;2561.031022;227.1882358;GdL
Alcyonium palmatum;MEDITS_2014_G102_63;2014;0.044206;MEDITS;40.5;G102;42.61925;3.113916667;5949.418631;271.4563634;GdL
Alcyonium palmatum;MEDITS_2014_G103_47;2014;0.0623731;MEDITS;48.5;G103;42.74583333;3.140666667;3254.608156;32.06510499;GdL
Alcyonium palmatum;MEDITS_2014_G201_64;2014;0.0490544;MEDITS;78;G201;42.59866667;3.201583333;15574.54581;1243.517401;GdL
Alcyonium palmatum;MEDITS_2014_G202_62;2014;0.0408409;MEDITS;84;G202;42.71825;3.249666667;6978.298715;489.705173;GdL
Alcyonium palmatum;MEDITS_2014_G203_44;2014;0.0519486;MEDITS;89;G203;42.509;3.251333333;280277.0431;26410.72137;GdL
Alcyonium palmatum;MEDITS_2014_G301_43;2014;0.051393;MEDITS;114.5;G301;42.46841667;3.35625;778.3161131;97.28951414;GdL
Alcyonium palmatum;MEDITS_2014_G302_42;2014;0.0493116;MEDITS;109;G302;42.60891667;3.571583333;689.4929388;121.6752245;GdL
Alcyonium palmatum;MEDITS_2014_G303_70;2014;0.0511353;MEDITS;133;G303;42.832;4.26075;215.1155855;39.11192464;GdL
Alcyonium palmatum;MEDITS_2015_G102_70;2015;0.0433504;MEDITS;41;G102;42.62133333;3.114166667;3275.632981;369.0854064;GdL
Alcyonium palmatum;MEDITS_2015_G103_71;2015;0.039368;MEDITS;48;G103;42.74566667;3.140416667;4800.853485;203.2107295;GdL
Alcyonium palmatum;MEDITS_2015_G201_42;2015;0.0538905;MEDITS;79;G201;42.59816667;3.202;24679.67453;1799.946187;GdL
Alcyonium palmatum;MEDITS_2015_G202_72;2015;0.0422916;MEDITS;85;G202;42.71283333;3.249166667;5627.595078;733.0060816;GdL
Alcyonium palmatum;MEDITS_2015_G203_41;2015;0.0530523;MEDITS;88.5;G203;42.51041667;3.248416667;78036.20201;4674.632391;GdL
Alcyonium palmatum;MEDITS_2015_G301_40;2015;0.0551936;MEDITS;115;G301;42.47033333;3.356583333;1521.915584;199.2984694;GdL
Alcyonium palmatum;MEDITS_2015_G302_37;2015;0.06024;MEDITS;109.5;G302;42.61433333;3.570333333;132.8021248;49.80079681;GdL
Alcyonium palmatum;MEDITS_2015_G303_45;2015;0.0593121;MEDITS;134;G303;42.83825;4.25625;7148.62566;741.8385119;GdL
Alcyonium palmatum;MEDITS_2016_G101_60;2016;0.0491736;MEDITS;31;G101;42.95670166;3.091600037;2501.342184;142.3528072;GdL
Alcyonium palmatum;MEDITS_2016_G102_73;2016;0.0477;MEDITS;40;G102;42.61660156;3.113300069;2348.008386;167.7148847;GdL
Alcyonium palmatum;MEDITS_2016_G103_75;2016;0.0561078;MEDITS;49;G103;42.7430013;3.140350087;1639.700719;53.46850171;GdL
Alcyonium palmatum;MEDITS_2016_G201_76;2016;0.0599848;MEDITS;78.5;G201;42.5944458;3.201350149;2367.266374;216.7215695;GdL
Alcyonium palmatum;MEDITS_2016_G202_74;2016;0.0577584;MEDITS;85;G202;42.71735026;3.249199931;432.8374747;17.31349899;GdL
Alcyonium palmatum;MEDITS_2016_G203_41;2016;0.0519246;MEDITS;87;G203;42.50935059;3.25069987;61531.52841;5199.847471;GdL
Alcyonium palmatum;MEDITS_2016_G301_69;2016;0.0587979;MEDITS;112.5;G301;42.47669678;3.356699626;952.4149672;221.0963317;GdL
Alcyonium palmatum;MEDITS_2016_G302_40;2016;0.0548361;MEDITS;112;G302;42.60609945;3.573650106;273.5424292;72.94464778;GdL
Alcyonium palmatum;MEDITS_2016_G303_51;2016;0.054332;MEDITS;132.5;G303;42.83695068;4.258750153;1104.321578;110.4321578;GdL
Alpheus glaber;MEDITS_2012_G202_43;2012;0.04214;MEDITS;85.5;G202;42.71091667;3.249416667;118.652112;261.0346464;GdL
Alpheus glaber;MEDITS_2014_G103_47;2014;0.0623731;MEDITS;48.5;G103;42.74583333;3.140666667;288.5859449;561.1393373;GdL
Alpheus glaber;MEDITS_2014_G202_62;2014;0.0408409;MEDITS;84;G202;42.71825;3.249666667;293.8231038;538.6756903;GdL
Alpheus glaber;MEDITS_2015_G103_71;2015;0.039368;MEDITS;48;G103;42.74566667;3.140416667;1422.475107;2311.522048;GdL
Alpheus glaber;MEDITS_2015_G201_42;2015;0.0538905;MEDITS;79;G201;42.59816667;3.202;18.55614626;18.55614626;GdL
Alpheus glaber;MEDITS_2015_G202_72;2015;0.0422916;MEDITS;85;G202;42.71283333;3.249166667;2955.669684;4587.199349;GdL
Alpheus glaber;MEDITS_2016_G103_75;2016;0.0561078;MEDITS;49;G103;42.7430013;3.140350087;17.8228339;17.8228339;GdL
Alpheus glaber;MEDITS_2016_G303_51;2016;0.054332;MEDITS;132.5;G303;42.83695068;4.258750153;18.40535964;18.40535964;GdL
Annelida;MEDITS_2013_G102_59;2013;0.0497994;MEDITS;38.5;G102;42.62391667;3.11375;17972.10408;1827.331253;GdL
Annelida;MEDITS_2013_G103_60;2013;0.0542724;MEDITS;46;G103;42.74675;3.138833333;1105.534305;552.7671524;GdL
Annelida;MEDITS_2013_G201_58;2013;0.0480021;MEDITS;75.5;G201;42.59291667;3.19925;3499.846882;4478.970712;GdL
Annelida;MEDITS_2014_G103_47;2014;0.0623731;MEDITS;48.5;G103;42.74583333;3.140666667;545.1067848;80.16276247;GdL
Annelida;MEDITS_2014_G301_43;2014;0.051393;MEDITS;114.5;G301;42.46841667;3.35625;58.37370848;77.83161131;GdL
Annelida;MEDITS_2015_G103_71;2015;0.039368;MEDITS;48;G103;42.74566667;3.140416667;177.8093883;203.2107295;GdL
Annelida;MEDITS_2015_G201_42;2015;0.0538905;MEDITS;79;G201;42.59816667;3.202;37.11229252;18.55614626;GdL
Annelida;MEDITS_2015_G202_72;2015;0.0422916;MEDITS;85;G202;42.71283333;3.249166667;614.7792942;472.9071494;GdL
Annelida;MEDITS_2016_G101_60;2016;0.0491736;MEDITS;31;G101;42.95670166;3.091600037;1809.914263;20.33611531;GdL
Annelida;MEDITS_2016_G201_76;2016;0.0599848;MEDITS;78.5;G201;42.5944458;3.201350149;50.01266988;16.67088996;GdL
Anseropoda placenta;MEDITS_2012_G203_34;2012;0.0517131;MEDITS;88.5;G203;42.51291667;3.245666667;79186.89848;3654.77993;GdL
Anseropoda placenta;MEDITS_2012_G301_33;2012;0.0539628;MEDITS;113.5;G301;42.47825;3.356166667;2501.723409;203.8441297;GdL
Anseropoda placenta;MEDITS_2013_G203_40;2013;0.0546021;MEDITS;86.5;G203;42.50691667;3.2545;67982.73326;2509.061007;GdL
Anseropoda placenta;MEDITS_2013_G301_41;2013;0.0512904;MEDITS;110;G301;42.47708333;3.356666667;12867.90511;916.3508181;GdL
Anseropoda placenta;MEDITS_2014_G203_44;2014;0.0519486;MEDITS;89;G203;42.509;3.251333333;48701.98619;2964.468725;GdL
Anseropoda placenta;MEDITS_2014_G301_43;2014;0.051393;MEDITS;114.5;G301;42.46841667;3.35625;1109.100461;77.83161131;GdL
Anseropoda placenta;MEDITS_2014_G302_42;2014;0.0493116;MEDITS;109;G302;42.60891667;3.571583333;405.5840816;20.27920408;GdL
Anseropoda placenta;MEDITS_2015_G201_42;2015;0.0538905;MEDITS;79;G201;42.59816667;3.202;111.3368776;18.55614626;GdL
Anseropoda placenta;MEDITS_2015_G203_41;2015;0.0530523;MEDITS;88.5;G203;42.51041667;3.248416667;8915.730326;527.7810764;GdL
Anseropoda placenta;MEDITS_2015_G301_40;2015;0.0551936;MEDITS;115;G301;42.47033333;3.356583333;1232.026902;108.708256;GdL
Anseropoda placenta;MEDITS_2015_G302_37;2015;0.06024;MEDITS;109.5;G302;42.61433333;3.570333333;116.2018592;16.6002656;GdL
Anseropoda placenta;MEDITS_2016_G203_41;2016;0.0519246;MEDITS;87;G203;42.50935059;3.25069987;5007.260528;288.8804151;GdL
Antedon;MEDITS_2013_G203_40;2013;0.0546021;MEDITS;86.5;G203;42.50691667;3.2545;321489.4665;321489.4665;GdL
Antedon;MEDITS_2013_G301_41;2013;0.0512904;MEDITS;110;G301;42.47708333;3.356666667;1832.701636;916.3508181;GdL
Antedon;MEDITS_2013_G302_43;2013;0.0465462;MEDITS;110;G302;42.61491667;3.571666667;12331.83375;12331.83375;GdL
Antedon;MEDITS_2014_G102_63;2014;0.044206;MEDITS;40.5;G102;42.61925;3.113916667;203.5922725;316.6990906;GdL
Antedon;MEDITS_2014_G201_64;2014;0.0490544;MEDITS;78;G201;42.59866667;3.201583333;713.4935908;550.4093415;GdL
Antedon;MEDITS_2014_G202_62;2014;0.0408409;MEDITS;84;G202;42.71825;3.249666667;293.8231038;318.3083625;GdL
Antedon;MEDITS_2015_G101_54;2015;0.0422104;MEDITS;31;G101;42.95091667;3.086416667;260.5992836;260.5992836;GdL
Antedon;MEDITS_2015_G102_70;2015;0.0433504;MEDITS;41;G102;42.62133333;3.114166667;92.27135159;207.6105411;GdL
Antedon;MEDITS_2015_G103_71;2015;0.039368;MEDITS;48;G103;42.74566667;3.140416667;279.4147531;685.8362122;GdL
Antedon;MEDITS_2015_G202_72;2015;0.0422916;MEDITS;85;G202;42.71283333;3.249166667;733.0060816;733.0060816;GdL
Antedon;MEDITS_2015_G203_41;2015;0.0530523;MEDITS;88.5;G203;42.51041667;3.248416667;81052.09388;40526.04694;GdL
Antedon;MEDITS_2015_G301_40;2015;0.0551936;MEDITS;115;G301;42.47033333;3.356583333;905.9021336;905.9021336;GdL
Antedon;MEDITS_2015_G302_37;2015;0.06024;MEDITS;109.5;G302;42.61433333;3.570333333;8715.139442;8715.139442;GdL
Antedon;MEDITS_2015_G303_45;2015;0.0593121;MEDITS;134;G303;42.83825;4.25625;488.9390192;488.9390192;GdL
Antedon;MEDITS_2016_G102_73;2016;0.0477;MEDITS;40;G102;42.61660156;3.113300069;104.8218029;104.8218029;GdL
Antedon;MEDITS_2016_G103_75;2016;0.0561078;MEDITS;49;G103;42.7430013;3.140350087;35.6456678;35.6456678;GdL
Antedon;MEDITS_2016_G201_76;2016;0.0599848;MEDITS;78.5;G201;42.5944458;3.201350149;66.68355984;50.01266988;GdL
Antedon;MEDITS_2016_G202_74;2016;0.0577584;MEDITS;85;G202;42.71735026;3.249199931;51.94049697;17.31349899;GdL
Antedon;MEDITS_2016_G203_41;2016;0.0519246;MEDITS;87;G203;42.50935059;3.25069987;975106.2117;524356.4707;GdL
Antedon;MEDITS_2016_G302_40;2016;0.0548361;MEDITS;112;G302;42.60609945;3.573650106;137117.7017;69735.08328;GdL
Antedon;MEDITS_2016_G303_51;2016;0.054332;MEDITS;132.5;G303;42.83695068;4.258750153;416678.9369;293823.1613;GdL
Anthozoa;MEDITS_2012_G101_39;2012;0.0497965;MEDITS;31.5;G101;42.95075;3.08775;30463.98843;602.4519796;GdL
Anthozoa;MEDITS_2012_G102_36;2012;0.044448;MEDITS;40.5;G102;42.61833333;3.113916667;2969.762419;359.9712023;GdL
Anthozoa;MEDITS_2012_G103_37;2012;0.0537665;MEDITS;48.5;G103;42.74433333;3.140083333;1487.915338;148.7915338;GdL
Anthozoa;MEDITS_2012_G201_35;2012;0.0486995;MEDITS;78;G201;42.59675;3.20125;70082.85506;3572.93196;GdL
Anthozoa;MEDITS_2012_G202_43;2012;0.04214;MEDITS;85.5;G202;42.71091667;3.249416667;3773.137162;759.3735168;GdL
Anthozoa;MEDITS_2012_G203_34;2012;0.0517131;MEDITS;88.5;G203;42.51291667;3.245666667;533056.4209;24983.99825;GdL
Anthozoa;MEDITS_2012_G301_33;2012;0.0539628;MEDITS;113.5;G301;42.47825;3.356166667;4169.539016;203.8441297;GdL
Anthozoa;MEDITS_2012_G302_29;2012;0.0548016;MEDITS;109.5;G302;42.61466667;3.57125;3503.547342;602.1721994;GdL
Anthozoa;MEDITS_2012_G303_86;2012;0.0623338;MEDITS;131;G303;42.83433333;4.26075;240.6399096;48.12798193;GdL
Anthozoa;MEDITS_2015_G102_70;2015;0.0433504;MEDITS;41;G102;42.62133333;3.114166667;576.6959474;46.1356758;GdL
Anthozoa;MEDITS_2015_G103_71;2015;0.039368;MEDITS;48;G103;42.74566667;3.140416667;25.40134119;25.40134119;GdL
Aphrodita aculeata;MEDITS_2012_G103_37;2012;0.0537665;MEDITS;48.5;G103;42.74433333;3.140083333;3663.991519;130.192592;GdL
Aphrodita aculeata;MEDITS_2013_G103_60;2013;0.0542724;MEDITS;46;G103;42.74675;3.138833333;1105.534305;36.85114349;GdL
Aphrodita aculeata;MEDITS_2014_G101_67;2014;0.048418;MEDITS;31.5;G101;42.956;3.088416667;3366.516585;103.2673799;GdL
Aphrodita aculeata;MEDITS_2014_G103_47;2014;0.0623731;MEDITS;48.5;G103;42.74583333;3.140666667;4761.668091;96.19531497;GdL
Aphrodita aculeata;MEDITS_2014_G201_64;2014;0.0490544;MEDITS;78;G201;42.59866667;3.201583333;1304.673995;20.38553117;GdL
Aphrodita aculeata;MEDITS_2014_G202_62;2014;0.0408409;MEDITS;84;G202;42.71825;3.249666667;7370.062854;122.4262933;GdL
Aphrodita aculeata;MEDITS_2014_G203_44;2014;0.0519486;MEDITS;89;G203;42.509;3.251333333;3079.967506;38.49959383;GdL
Aphrodita aculeata;MEDITS_2014_G301_43;2014;0.051393;MEDITS;114.5;G301;42.46841667;3.35625;1206.389975;19.45790283;GdL
Aphrodita aculeata;MEDITS_2015_G101_54;2015;0.0422104;MEDITS;31;G101;42.95091667;3.086416667;7367.852472;426.4351913;GdL
Aphrodita aculeata;MEDITS_2015_G103_71;2015;0.039368;MEDITS;48;G103;42.74566667;3.140416667;12319.65048;330.2174355;GdL
Aphrodita aculeata;MEDITS_2015_G201_42;2015;0.0538905;MEDITS;79;G201;42.59816667;3.202;241.2299014;18.55614626;GdL
Aphrodita aculeata;MEDITS_2015_G202_72;2015;0.0422916;MEDITS;85;G202;42.71283333;3.249166667;3617.739693;94.58142988;GdL
Aphrodita aculeata;MEDITS_2016_G101_60;2016;0.0491736;MEDITS;31;G101;42.95670166;3.091600037;34327.36265;1667.561456;GdL
Aphrodita aculeata;MEDITS_2016_G102_73;2016;0.0477;MEDITS;40;G102;42.61660156;3.113300069;251.572327;20.96436059;GdL
Aphrodita aculeata;MEDITS_2016_G103_75;2016;0.0561078;MEDITS;49;G103;42.7430013;3.140350087;1354.535377;53.46850171;GdL
Aphrodita aculeata;MEDITS_2016_G201_76;2016;0.0599848;MEDITS;78.5;G201;42.5944458;3.201350149;800.202718;16.67088996;GdL
Aphrodita aculeata;MEDITS_2016_G203_41;2016;0.0519246;MEDITS;87;G203;42.50935059;3.25069987;288.8804151;19.25869434;GdL
Aphrodita aculeata;MEDITS_2016_G301_69;2016;0.0587979;MEDITS;112.5;G301;42.47669678;3.356699626;850.3705064;17.00741013;GdL
Apodida;MEDITS_2014_G102_63;2014;0.044206;MEDITS;40.5;G102;42.61925;3.113916667;22.62136362;22.62136362;GdL
Apodida;MEDITS_2014_G201_64;2014;0.0490544;MEDITS;78;G201;42.59866667;3.201583333;20.38553117;20.38553117;GdL
Apodida;MEDITS_2014_G202_62;2014;0.0408409;MEDITS;84;G202;42.71825;3.249666667;24.48525865;24.48525865;GdL
Aporrhais serresianus;MEDITS_2013_G301_41;2013;0.0512904;MEDITS;110;G301;42.47708333;3.356666667;5517.601734;1384.27464;GdL
Aporrhais serresianus;MEDITS_2013_G302_43;2013;0.0465462;MEDITS;110;G302;42.61491667;3.571666667;580.0688348;171.8722474;GdL
Aporrhais serresianus;MEDITS_2014_G302_42;2014;0.0493116;MEDITS;109;G302;42.60891667;3.571583333;162.2336327;60.83761225;GdL
Aporrhais serresianus;MEDITS_2015_G202_72;2015;0.0422916;MEDITS;85;G202;42.71283333;3.249166667;591.1339368;141.8721448;GdL
Aporrhais serresianus;MEDITS_2015_G301_40;2015;0.0551936;MEDITS;115;G301;42.47033333;3.356583333;362.3608534;217.4165121;GdL
Aporrhais serresianus;MEDITS_2015_G302_37;2015;0.06024;MEDITS;109.5;G302;42.61433333;3.570333333;66.40106242;16.6002656;GdL
Aptyxis syracusanus;MEDITS_2013_G102_59;2013;0.0497994;MEDITS;38.5;G102;42.62391667;3.11375;200.8056322;120.4833793;GdL
Armina loveni;MEDITS_2014_G201_64;2014;0.0490544;MEDITS;78;G201;42.59866667;3.201583333;407.7106233;101.9276558;GdL
Armina loveni;MEDITS_2014_G202_62;2014;0.0408409;MEDITS;84;G202;42.71825;3.249666667;171.3968106;73.45577595;GdL
Armina loveni;MEDITS_2014_G203_44;2014;0.0519486;MEDITS;89;G203;42.509;3.251333333;38.49959383;19.24979691;GdL
Armina loveni;MEDITS_2015_G101_54;2015;0.0422104;MEDITS;31;G101;42.95091667;3.086416667;260.5992836;260.5992836;GdL
Armina loveni;MEDITS_2015_G201_42;2015;0.0538905;MEDITS;79;G201;42.59816667;3.202;18.55614626;18.55614626;GdL
Armina loveni;MEDITS_2015_G303_45;2015;0.0593121;MEDITS;134;G303;42.83825;4.25625;33.71993236;16.85996618;GdL
Armina loveni;MEDITS_2016_G301_69;2016;0.0587979;MEDITS;112.5;G301;42.47669678;3.356699626;17.00741013;17.00741013;GdL
Armina maculata;MEDITS_2014_G101_67;2014;0.048418;MEDITS;31.5;G101;42.956;3.088416667;846.7925152;289.1486637;GdL
Armina maculata;MEDITS_2014_G303_70;2014;0.0511353;MEDITS;133;G303;42.832;4.26075;58.66788696;19.55596232;GdL
Armina maculata;MEDITS_2015_G101_54;2015;0.0422104;MEDITS;31;G101;42.95091667;3.086416667;39611.09111;23785.60734;GdL
Armina maculata;MEDITS_2016_G302_40;2016;0.0548361;MEDITS;112;G302;42.60609945;3.573650106;36.47232389;18.23616194;GdL
Ascidiacea;MEDITS_2015_G203_41;2015;0.0530523;MEDITS;88.5;G203;42.51041667;3.248416667;226.1918899;37.69864831;GdL
Ascidiidae;MEDITS_2012_G101_39;2012;0.0497965;MEDITS;31.5;G101;42.95075;3.08775;562087.6969;38074.96511;GdL
Ascidiidae;MEDITS_2012_G102_36;2012;0.044448;MEDITS;40.5;G102;42.61833333;3.113916667;38584.41325;2744.780418;GdL
Ascidiidae;MEDITS_2012_G103_37;2012;0.0537665;MEDITS;48.5;G103;42.74433333;3.140083333;15976.49094;669.5619019;GdL
Ascidiidae;MEDITS_2012_G201_35;2012;0.0486995;MEDITS;78;G201;42.59675;3.20125;8911.795809;472.2841097;GdL
Ascidiidae;MEDITS_2012_G202_43;2012;0.04214;MEDITS;85.5;G202;42.71091667;3.249416667;9824.394874;1210.251542;GdL
Ascidiidae;MEDITS_2012_G301_33;2012;0.0539628;MEDITS;113.5;G301;42.47825;3.356166667;1853.128451;111.1877071;GdL
Ascidiidae;MEDITS_2012_G302_29;2012;0.0548016;MEDITS;109.5;G302;42.61466667;3.57125;3010.860997;492.6863449;GdL
Ascidiidae;MEDITS_2012_G303_86;2012;0.0623338;MEDITS;131;G303;42.83433333;4.26075;7299.410593;0;GdL
